"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2015/09/01","00:00","9.814","8.147","7.954","4.62","4.436","0.919","0.782","-0.938","0"
"2015/10/01","00:00","10.427","8.633","8.37","5.089","4.896","1.421","1.241","-0.567","0"
"2015/11/01","00:00","9.486","8.265","7.957","4.663","4.486","1.011","0.851","-0.626","0"
"2015/12/01","00:00","8.839","8.127","7.806","4.463","4.276","0.746","0.545","-0.974","0"
"2016/01/01","00:00","9.085","7.881","7.54","4.22","4.072","0.604","0.358","-1.302","0"
"2016/02/01","00:00","9.069","7.645","7.396","3.958","3.807","0.214","-0.042","-1.958","0"
"2016/03/01","00:00","8.99","7.685","7.471","4.082","3.9","0.329","0.125","-1.794","0"
"2016/04/01","00:00","9.02","8.098","7.74","4.354","4.158","0.575","0.394","-2.086","0"
"2016/05/01","00:00","9.696","8.055","7.691","4.233","4.062","0.434","0.253","-1.285","0"
"2016/06/01","00:00","9.663","8.406","7.963","4.492","4.322","0.677","0.411","-0.803","0"
"2016/07/01","00:00","9.125","7.832","7.379","3.846","3.67","-0.039","-0.334","-1.246","0"
"2016/08/01","00:00","8.79","7.858","7.534","4.144","3.948","0.365","0.181","-1.043","0"
"2016/09/01","00:00","9.115","7.96","7.708","4.381","4.202","0.696","0.5","-1.115","0"
"2016/10/01","00:00","12.448","8.659","8.321","5.034","4.85","1.379","1.166","-0.268","0"
"2016/11/01","00:00","10.053","8.249","7.908","4.627","4.455","1.001","0.778","-0.852","0"
"2016/12/01","00:00","9.466","7.908","7.534","4.161","4.007","0.483","0.24","-1.623","0"
"2017/01/01","00:00","9.082","7.458","7.124","3.652","3.492","-0.144","-0.406","-1.699","0"
"2017/02/01","00:00","8.164","7.425","7.166","3.734","3.577","-0.012","-0.219","-2.135","0"
"2017/03/01","00:00","9.223","7.461","7.202","3.725","3.549","-0.104","-0.334","-1.571","0"
"2017/04/01","00:00","9.423","7.97","7.622","4.122","3.941","0.26","0.07","-1.216","0"
"2017/05/01","00:00","8.997","7.803","7.376","3.882","3.675","-0.025","-0.235","-2.417","0"
"2017/06/01","00:00","9.167","7.957","7.566","4.164","3.977","0.388","0.185","-1.676","0"
"2017/07/01","00:00","9.341","7.79","7.383","3.954","3.784","0.185","-0.009","-1.459","0"
"2017/08/01","00:00","9.059","8.059","7.688","4.397","4.23","0.772","0.545","-0.921","0"
"2017/09/01","00:00","12.192","8.567","8.255","5.034","4.853","1.451","1.261","-0.268","0"
"2017/10/01","00:00","9.066","8.147","7.872","4.719","4.538","1.205","1.041","-0.055","0"
"2017/11/01","00:00","9.368","7.977","7.678","4.407","4.256","0.834","0.664","-0.701","0"
"2017/12/01","00:00","9.738","7.74","7.353","3.905","3.767","0.181","-0.062","-1.489","0"
"2018/01/01","00:00","9.719","7.514","7.097","3.59","3.446","-0.206","-0.406","-1.567","0"
"2018/02/01","00:00","9.315","7.478","7.199","3.767","3.636","0.073","-0.153","-1.476","0"
"2018/03/01","00:00","8.751","7.881","7.606","4.174","4.005","0.404","0.191","-1.817","0"
"2018/04/01","00:00","8.59","7.642","7.307","3.912","3.754","0.201","0.017","-2.046","0"
"2018/05/01","00:00","8.889","7.767","7.337","3.918","3.764","0.191","0.027","-0.882","0"
"2018/06/01","00:00","9.122","7.812","7.363","3.879","3.728","0.093","-0.098","-1.42","0"
"2018/07/01","00:00","9.551","8","7.553","4.227","4.053","0.552","0.335","-1.22","0"
"2018/08/01","00:00","9.2","7.852","7.484","4.036","3.869","0.253","0.053","-1.597","0"
"2018/09/01","00:00","9.433","8.127","7.806","4.509","4.335","0.864","0.657","-0.563","0"
"2018/10/01","00:00","9.184","8","7.704","4.479","4.297","0.89","0.641","-0.951","0"
"2018/11/01","00:00","10.253","8.255","7.855","4.568","4.387","0.919","0.713","-0.449","0"
"2018/12/01","00:00","9.614","8.029","7.639","4.243","4.072","0.506","0.25","-2.424","0"
"2019/01/01","00:00","9.194","7.678","7.353","3.938","3.797","0.24","-0.048","-2.174","0"
"2019/02/01","00:00","9.893","8.049","7.727","4.315","4.166","0.604","0.355","-1.239","0"
"2019/03/01","00:00","9.423","8.032","7.721","4.414","4.241","0.762","0.529","-1.377","0"
"2019/04/01","00:00","9.092","7.868","7.56","4.207","4.053","0.545","0.296","-1.659","0"
"2019/05/01","00:00","9.164","8.124","7.668","4.325","4.141","0.614","0.417","-0.783","0"
"2019/06/01","00:00","9.292","8.141","7.625","4.289","4.122","0.618","0.401","-0.249","0"
"2019/07/01","00:00","9.473","8.226","7.734","4.404","4.205","0.677","0.434","-0.583","0"
"2019/08/01","00:00","10.047","8.223","7.849","4.459","4.272","0.696","0.516","-0.117","0"
"2019/09/01","00:00","9.938","8.429","8.131","4.87","4.702","1.274","1.074","-0.206","0"
"2019/10/01","00:00","9.453","8.449","8.18","4.965","4.778","1.375","1.215","-0.678","0"
"2019/11/01","00:00","9.466","8.442","8.062","4.863","4.694","1.326","1.146","-1.043","0"
"2019/12/01","00:00","9.384","7.849","7.461","4.233","4.064","0.667","0.486","-0.603","0"
"2020/01/01","00:00","8.994","7.662","7.271","3.977","3.841","0.411","0.106","-1.331","0"
"2020/02/01","00:00","8.885","7.717","7.402","4.026","3.875","0.349","0.122","-2.027","0"
"2020/03/01","00:00","8.856","7.753","7.468","4.122","3.967","0.467","0.208","-1.692","0"
"2020/04/01","00:00","9.476","8.019","7.658","4.302","4.107","0.555","0.342","-1.246","0"
"2020/05/01","00:00","9.341","8.078","7.671","4.253","4.081","0.49","0.29","-1.725","0"
